"reactor","treatment","run"
"1","SARA","T48"
"2","SARA","T48"
"3","SARA_MTX","T48"
"4","control_MTX","T48"
"5","control","T48"
"6","control","T48"
"7","SARA_MTX","T48"
"8","control_MTX","T48"
"9","SARA","T48"
"10","control","T48"
"11","SARA_MTX","T48"
"12","control_MTX","T48"
"1","control","T49"
"2","SARA","T49"
"3","control","T49"
"4","SARA_MTX","T49"
"5","SARA_MTX","T49"
"6","control_MTX","T49"
"7","SARA","T49"
"8","control","T49"
"9","control_MTX","T49"
"10","SARA_MTX","T49"
"11","SARA","T49"
"12","control_MTX","T49"
